donor,epsilon,alpha,emb_src,emb_tgt,geo_cost_linear,geo_cost_quad,converged,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity,combined_cost
s3d6,0.005,0.5,X_pca_norm,X_lsi_norm,True,False,True,0.1859,0.6021441334127456,0.6866099951269695,0.22593835,0.4550479796396879,0.5028630830347538,0.2693557591672652,0.4671196848227155,0.8933525669646504,True_False
s3d6,0.005,0.5,X_pca_norm,X_lsi_norm,False,True,True,0.3425,0.5068493150684932,0.9014384464056888,0.28293833,0.3453122684968757,0.4873542170971632,0.1748955284132512,0.903248513890132,0.7726249717355334,False_True
s3d6,0.005,0.5,X_pca_norm,X_lsi_norm,False,False,True,0.3394,0.5193567599761763,0.9035861894706444,0.28311312,0.3497152132163749,0.4875048287212848,0.1798696611153248,0.9032451837788692,0.7845564079621656,False_False
s3d6,0.005,0.5,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1881,0.5759380583680762,0.2409442850181384,0.2366041,0.5130388476139686,0.4966817409731447,0.2835115615645319,0.437261308113967,0.7772596310688864,True_True
s3d6,0.005,0.5,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2147,0.5687909469922573,0.6834515494432112,0.2656793,0.4947928105452269,0.4920618338510394,0.3233440358394921,0.6923247569915809,0.8759215206603748,True_False
s3d6,0.005,0.5,X_scVI_norm,X_poissonVI_norm,False,True,True,0.261,0.5080405002977963,0.8818921796884871,0.307578,0.4243555887899886,0.4843668416142463,0.3297525813550403,0.9039335328394594,0.6561344337427453,False_True
s3d6,0.005,0.5,X_scVI_norm,X_poissonVI_norm,False,False,True,0.251,0.5145920190589637,0.8995072824733338,0.3043073,0.4473938702572255,0.4870637794956565,0.3403286221542623,0.8982487393001792,0.6635183571245572,False_False
s3d6,0.005,0.75,X_pca_norm,X_lsi_norm,True,True,True,0.183,0.509827278141751,0.5399498258342809,0.22706376,0.4655075049890815,0.4969486533664167,0.2046620348608578,0.4061741407943136,0.8525407971930863,True_True
s3d6,0.005,0.75,X_pca_norm,X_lsi_norm,True,False,True,0.1897,0.5955926146515783,0.6653671918710633,0.22641581,0.4861837437030226,0.4990991134545766,0.2818803754717353,0.4513270858998893,0.885409276762131,True_False
s3d6,0.005,0.75,X_pca_norm,X_lsi_norm,False,True,True,0.3066,0.5568790946992257,0.8548197881134152,0.25782868,0.3969882503376932,0.4884827816858887,0.2912789185402448,0.7852635006496329,0.8122863732162053,False_True
s3d6,0.005,0.75,X_pca_norm,X_lsi_norm,False,False,True,0.2597,0.6372840976771889,0.808634288086343,0.23927772,0.4410068698421837,0.4970707180909812,0.3193585593961557,0.6408951255163156,0.861937655015161,False_False
s3d6,0.005,0.75,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1936,0.5122096486003573,0.1967982384897215,0.23686798,0.5086276033723058,0.4908408969640732,0.2797458128538263,0.4095152446053546,0.7138043247406668,True_True
s3d6,0.005,0.75,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2226,0.5372245384157236,0.7226884689660151,0.2728669,0.519862588666827,0.4928528009913862,0.3824541519933726,0.6943708460646528,0.8512663827648651,True_False
s3d6,0.005,0.75,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2386,0.532459797498511,0.712852166693739,0.27958375,0.4461405747671004,0.489073134958744,0.337653301814545,0.7988195470359744,0.7432140568638531,False_True
s3d6,0.005,0.75,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2225,0.5646217986896962,0.7115887884202357,0.2715475,0.501245364373942,0.4908450059592724,0.3746192795564675,0.748161667762202,0.7762741784765733,False_False
s3d6,0.005,0.9,X_pca_norm,X_lsi_norm,True,True,True,0.2088,0.3037522334723049,0.4627393650621763,0.23009396,0.4800217560456872,0.4958383371122181,0.1956470116067797,0.3992203679883506,0.7562348580986289,True_True
s3d6,0.005,0.9,X_pca_norm,X_lsi_norm,True,False,True,0.2704,0.4198927933293627,0.6911762051726316,0.23348142,0.4427391704841061,0.4995892498118337,0.3305911605988396,0.4607204927446889,0.847926566235357,True_False
s3d6,0.005,0.9,X_pca_norm,X_lsi_norm,False,True,True,0.2513,0.5711733174508636,0.7828252747847745,0.236122,0.4402901131435489,0.4942600666545331,0.3010687392521351,0.6228111666548791,0.8533727924175352,False_True
s3d6,0.005,0.9,X_pca_norm,X_lsi_norm,False,False,True,0.291,0.3704586063132817,0.6945151334668905,0.23591314,0.4235844292945599,0.4983633656520396,0.3170857948002804,0.4705740294830247,0.8634875854938935,False_False
s3d6,0.005,0.9,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1998,0.5002977963073257,0.1541501976284583,0.2379648,0.4993416748868404,0.4884109925478697,0.2825766605447766,0.4010112108540729,0.6612193104214041,True_True
s3d6,0.005,0.9,X_scVI_norm,X_poissonVI_norm,True,False,True,0.231,0.4919594997022037,0.7313877307921381,0.2772344,0.4913992946939217,0.494215473998338,0.3751294959854017,0.6984468439702262,0.79960137519684,True_False
s3d6,0.005,0.9,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2158,0.5485407980941036,0.509845326402801,0.2526412,0.4783364418110777,0.4934290335513651,0.3667053999142289,0.6428548129786784,0.7779258061751407,False_True
s3d6,0.005,0.9,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2387,0.4711137581893984,0.7223816485281642,0.27973127,0.4536026159241549,0.4928668886423111,0.3266216628053399,0.7056947891947309,0.779344406922649,False_False
s3d6,0.005,0.95,X_pca_norm,X_lsi_norm,True,True,True,0.2338,0.289458010720667,0.3894453769379321,0.23305114,0.4782049665988312,0.4956907262094319,0.2100734676505762,0.3989192036976277,0.6812902709800447,True_True
s3d6,0.005,0.95,X_pca_norm,X_lsi_norm,True,False,True,0.3017,0.3650982727814175,0.6798058007111016,0.2363059,0.4206606521318209,0.4972689328715205,0.2948305412960793,0.4597734057528415,0.8624746648602669,True_False
s3d6,0.005,0.95,X_pca_norm,X_lsi_norm,False,True,True,0.2231,0.5515187611673615,0.6933239482375874,0.23000258,0.4462701218117285,0.4961683524306863,0.2605625515957626,0.5181994525863148,0.8795140075766494,False_True
s3d6,0.005,0.95,X_pca_norm,X_lsi_norm,False,False,True,0.3672,0.3204288266825491,0.6889201725413757,0.24317534,0.3785242075560691,0.4953279420733452,0.2830811593292439,0.4830640354040718,0.7247371008096307,False_False
s3d6,0.005,0.95,X_scVI_norm,X_poissonVI_norm,True,True,True,0.208,0.4621798689696247,0.0959084592199541,0.24077132,0.4743519323653786,0.4863160438835621,0.245440969664008,0.4071032587628337,0.6570263380335947,True_True
s3d6,0.005,0.95,X_scVI_norm,X_poissonVI_norm,True,False,True,0.24,0.4615842763549732,0.7257566733445232,0.2802802,0.4966956663829034,0.4938049660995602,0.3737867370128656,0.7013890577037637,0.7725141752844438,True_False
s3d6,0.005,0.95,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2072,0.5223347230494342,0.342267222553107,0.24321803,0.4886700077552574,0.493046254850924,0.3549746306529207,0.5381387783794636,0.7892229382113973,False_True
s3d6,0.005,0.95,X_scVI_norm,X_poissonVI_norm,False,False,True,0.2481,0.4550327575938058,0.7314599238363382,0.28288415,0.4241708970959076,0.4869828140363097,0.3249798253264763,0.7156995425831325,0.7641562145535008,False_False
s3d6,0.005,0.98,X_pca_norm,X_lsi_norm,True,True,True,0.2683,0.4103633114949375,0.2733950583861243,0.23599726,0.4844693237199286,0.4954592962749302,0.2107978182998054,0.4024814938102425,0.6068076241801944,True_True
s3d6,0.005,0.98,X_pca_norm,X_lsi_norm,True,False,True,0.3193,0.3561643835616438,0.6933780930207375,0.23832287,0.4237173367617849,0.4973499418701976,0.3166756888432941,0.4669458263092094,0.8307015379999363,True_False
s3d6,0.005,0.98,X_pca_norm,X_lsi_norm,False,True,True,0.2124,0.4681357951161405,0.4768892017254138,0.2322975,0.4531145284279112,0.4960216120816767,0.2216704833387104,0.430104350038343,0.8684549653145576,False_True
s3d6,0.005,0.98,X_pca_norm,X_lsi_norm,False,False,True,0.3543,0.3156640857653365,0.6777122024292959,0.24215853,0.3538741213420395,0.4961704243905842,0.1956331479985114,0.4794710935096338,0.8039821224630826,False_False
s3d6,0.005,0.98,X_scVI_norm,X_poissonVI_norm,True,True,True,0.2282,0.4145324597974985,0.0362589564495458,0.24766764,0.453732649586884,0.4830021485686302,0.234888160105845,0.4167363968235087,0.4868033047620964,True_True
s3d6,0.005,0.98,X_scVI_norm,X_poissonVI_norm,True,False,True,0.2526,0.4252531268612269,0.7227065172270652,0.28484988,0.4801701821298401,0.4921731045469641,0.36671257773373,0.705772971449242,0.7650296522828,True_False
s3d6,0.005,0.98,X_scVI_norm,X_poissonVI_norm,False,True,True,0.2096,0.4472900536033353,0.1070442362878336,0.2439607,0.4691463551585726,0.4874544013291597,0.2987254458207674,0.4551513480160813,0.6882772364226364,False_True
s3d6,0.005,0.98,X_scVI_norm,X_poissonVI_norm,False,False,True,0.6549,0.0595592614651578,0.7370909812839532,0.41897172,0.2238666848331972,0.4509048946201801,0.0832225017890726,0.5745904492341597,0.5612830339079201,False_False
s3d6,0.01,0.25,X_pca_norm,X_lsi_norm,True,True,True,0.1755,0.5944014294222751,0.630606241088671,0.22497365,0.4782797579029207,0.500752788153477,0.2279982101876057,0.4455650929690318,0.8630429311733864,True_True
s3d6,0.01,0.25,X_pca_norm,X_lsi_norm,True,False,True,0.1702,0.604526503871352,0.653527532622232,0.2243977,0.4641433007585054,0.5048240507021546,0.235605690502373,0.4527396383079091,0.8777920435846426,True_False
s3d6,0.01,0.25,X_pca_norm,X_lsi_norm,False,True,True,0.3495,0.5014889815366289,0.9208042305123902,0.28973472,0.3345383359490275,0.4868996748700738,0.1749865086570998,0.92628492594998,0.7615837335813838,False_True
s3d6,0.01,0.25,X_pca_norm,X_lsi_norm,False,False,True,0.3605,0.478856462179869,0.9749309654014836,0.30243197,0.2746554799811148,0.4856968075037002,0.1459334723842783,0.9588026192540412,0.7065101347460225,False_False
s3d6,0.01,0.25,X_scVI_norm,X_poissonVI_norm,True,True,True,0.1874,0.6128648004764741,0.2583789051924848,0.237006,0.5266730221865695,0.4984400006942451,0.327701386425307,0.451137159845178,0.77543155408474,True_True
s3d6,0.01,0.25,X_scVI_norm,X_poissonVI_norm,True,False,True,0.1936,0.5723645026801668,0.4461169166350821,0.24158962,0.4904943066297438,0.4939848245121538,0.3537959357714936,0.5485802006001002,0.8217355222236088,True_False
